# ell observed_D_uK2 conditional_model_D_coadded_uK2 error_minus_uK2 error_plus_uK2 residual_over_quoted_error
157 -6.15947753000000e+01 -4.57437814873071e+01 9.14815813000000e+00 9.14815813000000e+00 -1.73269783790816e+00
158 -5.41554490000000e+01 -4.56014298365867e+01 9.15387894000000e+00 9.15387894000000e+00 -9.34469334746663e-01
159 -5.38165201000000e+01 -4.54331884057699e+01 9.15846872000000e+00 9.15846872000000e+00 -9.15363905313434e-01
160 -4.77615975000000e+01 -4.52389070514427e+01 9.16186781000000e+00 9.16186781000000e+00 -2.75346741611340e-01
161 -3.99104366000000e+01 -4.50182872381288e+01 9.16417033000000e+00 9.16417033000000e+00 5.57371857374548e-01
162 -4.79069515000000e+01 -4.47712531248365e+01 9.16534680000000e+00 9.16534680000000e+00 -3.42125447469534e-01
163 -4.35025768000000e+01 -4.44974320370130e+01 9.16550769000000e+00 9.16550769000000e+00 1.08543385774297e-01
164 -5.16819915000000e+01 -4.41968224245986e+01 9.16462503000000e+00 9.16462503000000e+00 -8.16745808028043e-01
165 -3.21735091000000e+01 -4.38691258981381e+01 9.16276188000000e+00 9.16276188000000e+00 1.27642919802016e+00
166 -5.28257756000000e+01 -4.35142667510409e+01 9.15994936000000e+00 9.15994936000000e+00 -1.01654588720992e+00
167 -6.13622618000000e+01 -4.31320950850961e+01 9.15621742000000e+00 9.15621742000000e+00 -1.99101505334327e+00
168 -4.14487684000000e+01 -4.27226836790234e+01 9.15168978000000e+00 9.15168978000000e+00 1.39200006736173e-01
169 -4.93770058000000e+01 -4.22858826781833e+01 9.14635413000000e+00 9.14635413000000e+00 -7.75295054294678e-01
170 -4.47707578000000e+01 -4.18216164631483e+01 9.14035120000000e+00 9.14035120000000e+00 -3.22650768260601e-01
171 -3.83510946000000e+01 -4.13298094287781e+01 9.13366601000000e+00 9.13366601000000e+00 3.26124781168570e-01
172 -3.36543029000000e+01 -4.08104601991392e+01 9.12643990000000e+00 9.12643990000000e+00 7.84112685510503e-01
173 -5.49479116000000e+01 -4.02634931886541e+01 9.11866875000000e+00 9.11866875000000e+00 -1.61036866388483e+00
174 -2.84369562000000e+01 -3.96889070349275e+01 9.11046586000000e+00 9.11046586000000e+00 1.23505768067578e+00
175 -3.73577823000000e+01 -3.90868488134957e+01 9.10187587000000e+00 9.10187587000000e+00 1.89968149224577e-01
176 -5.79136744000000e+01 -3.84572442928940e+01 9.09296481000000e+00 9.09296481000000e+00 -2.13972345804184e+00
177 -3.69286530000000e+01 -3.78000988453422e+01 9.08381578000000e+00 9.08381578000000e+00 9.59338967728613e-02
178 -4.20931119000000e+01 -3.71154934014319e+01 9.07449088000000e+00 9.07449088000000e+00 -5.48528679392768e-01
179 -5.59100329000000e+01 -3.64034346638765e+01 9.06503232000000e+00 9.06503232000000e+00 -2.15185093086612e+00
180 -4.34864707000000e+01 -3.56640777580350e+01 9.05553849000000e+00 9.05553849000000e+00 -8.63824161379607e-01
181 -2.83298917000000e+01 -3.48975777930605e+01 9.04605635000000e+00 9.04605635000000e+00 7.26027546032314e-01
182 -2.17659247000000e+01 -3.41040156409165e+01 9.03670997000000e+00 9.03670997000000e+00 1.36532996874708e+00
183 -2.94642052000000e+01 -3.32835463689531e+01 9.02751227000000e+00 9.02751227000000e+00 4.23077926091048e-01
184 -4.88887350000000e+01 -3.24363992367900e+01 9.01852848000000e+00 9.01852848000000e+00 -1.82428162196257e+00
185 -3.48202260000000e+01 -3.15625066036948e+01 9.00992654000000e+00 9.00992654000000e+00 -3.61570028550445e-01
186 -3.35423053000000e+01 -3.06622461041749e+01 9.00174714000000e+00 9.00174714000000e+00 -3.19944467560899e-01
187 -2.57304377000000e+01 -2.97356984659411e+01 8.99408961000000e+00 8.99408961000000e+00 4.45321421023857e-01
188 -1.50169640000000e+01 -2.87831670317793e+01 8.98704131000000e+00 8.98704131000000e+00 1.53178366015314e+00
189 -3.57663907000000e+01 -2.78048066668383e+01 8.98064937000000e+00 8.98064937000000e+00 -8.86526542251782e-01
190 -2.14631940000000e+01 -2.68009206268408e+01 8.97507419000000e+00 8.97507419000000e+00 5.94727855596791e-01
191 -2.71483767000000e+01 -2.57718121188926e+01 8.97033550000000e+00 8.97033550000000e+00 -1.53457424319013e-01
192 -2.49806484000000e+01 -2.47175616444546e+01 8.96657156000000e+00 8.96657156000000e+00 -2.93408415674782e-02
193 -3.44893463000000e+01 -2.36384723031775e+01 8.96382790000000e+00 8.96382790000000e+00 -1.21051788564822e+00
194 -5.27934830000000e+00 -2.25349955714979e+01 8.96218126000000e+00 8.96218126000000e+00 1.92538476637527e+00
195 -1.66812333000000e+01 -2.14073602097371e+01 8.96173072000000e+00 8.96173072000000e+00 5.27367654463185e-01
196 -1.57832986000000e+00 -2.02560175657752e+01 8.96256465000000e+00 8.96256465000000e+00 2.08396685939389e+00
197 -1.96381638000000e+01 -1.90812704820705e+01 8.96473452000000e+00 8.96473452000000e+00 -6.21204472577598e-02
198 -1.29207836000000e+01 -1.78834959456328e+01 8.96831233000000e+00 8.96831233000000e+00 5.53360784395514e-01
199 -4.53390228000000e+00 -1.66629966486030e+01 8.97336877000000e+00 8.97336877000000e+00 1.35167679825589e+00
200 -9.89266039000000e+00 -1.54202978560242e+01 8.97999022000000e+00 8.97999022000000e+00 6.15550499566602e-01
201 -2.02399157000000e+01 -1.41556273804357e+01 8.98823374000000e+00 8.98823374000000e+00 -6.76917011235212e-01
202 -8.49640165000000e+00 -1.28695820494752e+01 8.99816973000000e+00 8.99816973000000e+00 4.86007769435044e-01
203 -1.25248907000000e+01 -1.15623870127765e+01 9.00986668000000e+00 9.00986668000000e+00 -1.06827739122936e-01
204 7.03494400000000e+00 -1.02345641956656e+01 9.02339665000000e+00 9.02339665000000e+00 1.91385892314350e+00
205 -4.19942815000000e+00 -8.88656120587386e+00 9.03878957000000e+00 9.03878957000000e+00 5.18557603269202e-01
206 -6.98192826000000e+00 -7.51875132971519e+00 9.05611588000000e+00 9.05611588000000e+00 5.92774073155074e-02
207 -4.95232518000000e+00 -6.13151516789225e+00 9.07543341000000e+00 9.07543341000000e+00 1.29932085292250e-01
208 -2.21717501000000e+01 -4.72545586349171e+00 9.09678612000000e+00 9.09678612000000e+00 -1.91785252575646e+00
209 -1.24339740000000e+01 -3.30110964841482e+00 9.12018512000000e+00 9.12018512000000e+00 -1.00139023840178e+00
210 1.81567692000000e+01 -1.85903490099702e+00 9.14568690000000e+00 9.14568690000000e+00 2.18855120668925e+00
211 2.15734592000000e+00 -3.99780970682107e-01 9.17332892000000e+00 9.17332892000000e+00 2.78756699229107e-01
212 7.85305992000000e+00 1.07608956039645e+00 9.20315148000000e+00 9.20315148000000e+00 7.36374966154914e-01
213 2.33066272000000e+00 2.56802314653119e+00 9.23512779000000e+00 9.23512779000000e+00 -2.57019103501969e-02
214 1.49953699000000e+01 4.07546043857804e+00 9.26930632000000e+00 9.26930632000000e+00 1.17807191654251e+00
215 1.92027258000000e+01 5.59781402224699e+00 9.30570825000000e+00 9.30570825000000e+00 1.46199638031345e+00
216 -8.14144924000000e+00 7.13448920270945e+00 9.34434678000000e+00 9.34434678000000e+00 -1.63477863165406e+00
217 8.50232073000000e+00 8.68486916455775e+00 9.38518920000000e+00 9.38518920000000e+00 -1.94506930726288e-02
218 1.30610048000000e+01 1.02484485674485e+01 9.42824920000000e+00 9.42824920000000e+00 2.98311613629340e-01
219 1.36813217000000e+01 1.18245440997456e+01 9.47351568000000e+00 9.47351568000000e+00 1.95996677788199e-01
220 2.17924469000000e+01 1.34126358840623e+01 9.52098655000000e+00 9.52098655000000e+00 8.80141041259817e-01
221 1.43720205000000e+01 1.50119815474513e+01 9.57062597000000e+00 9.57062597000000e+00 -6.68672090474858e-02
222 1.29320969000000e+01 1.66221357496704e+01 9.62240199000000e+00 9.62240199000000e+00 -3.83484170948709e-01
223 2.52398221000000e+01 1.82422822251977e+01 9.67629668000000e+00 9.67629668000000e+00 7.23163014344689e-01
224 2.66409995000000e+01 1.98719017470314e+01 9.73227311000000e+00 9.73227311000000e+00 6.95531010737181e-01
225 2.67180699000000e+01 2.15101783863320e+01 9.79031156000000e+00 9.79031156000000e+00 5.31943389314161e-01
226 3.03062576000000e+01 2.31565932580552e+01 9.85036404000000e+00 9.85036404000000e+00 7.25827422510652e-01
227 2.47368311000000e+01 2.48104049982316e+01 9.91236181000000e+00 9.91236181000000e+00 -7.42243873275179e-03
228 3.31788829000000e+01 2.64709466377622e+01 9.97631824000000e+00 9.97631824000000e+00 6.72385954503974e-01
229 2.43681805000000e+00 2.81375513866896e+01 1.00421170000000e+01 1.00421170000000e+01 -2.55929435363973e+00
230 4.84275096000000e+00 2.98095526361562e+01 1.01097826000000e+01 1.01097826000000e+01 -2.46956860142138e+00
231 3.27018622000000e+01 3.14862097423459e+01 1.01791799000000e+01 1.01791799000000e+01 1.19425382948003e-01
232 3.60476877000000e+01 3.31668564638962e+01 1.02503255000000e+01 1.02503255000000e+01 2.81047780980598e-01
233 5.05878743000000e+01 3.48507525275932e+01 1.03231184000000e+01 1.03231184000000e+01 1.52445425525748e+00
234 2.36668855000000e+01 3.65371578475674e+01 1.03975061000000e+01 1.03975061000000e+01 -1.23782301484463e+00
